不同副本号的数量：555
每个副本和它们的出现次数：
 fb_id  count
     0     46
  1001    832
  1002    833
  1003    835
  1004    827
  1005    829
  2001    824
  2002    822
  2003    819
  2004    824
  2005    821
  2006    823
  3001    811
  3002    808
  3003    805
  3004    804
  3005    802
  3006    839
  3007    836
  3008    809
  3009    828
  3010    819
  4001    772
  4002    770
  4003    773
  4004    770
  4005    765
  4006    758
  4007    758
  4008    757
  4009    794
  4010    859
  5001    727
  5002    722
  5003    752
  5004    737
  5005    733
  5006    722
  5007    704
  5008    701
  5009    712
  5010    700
  6001    669
  6002    664
  6003    660
  6004    660
  6005    656
  6006    657
  6007    656
  6008    658
  6009    664
  6010    645
  7001    645
  7002    638
  7003    632
  7004    643
  7005    658
  7006    640
  7007    655
  7008    640
  7009    711
  7010    592
  8001    536
  8002    528
  8003    518
  8004    513
  8005    510
  8006    533
  8007    537
  8008    554
  8009    533
  8010    499
  9001    488
  9002    493
  9003    470
  9004    447
  9005    448
  9006    454
  9007    404
  9008    425
  9009    415
  9010    441
 10001    346
 10002    343
 10003    328
 10004    330
 10005    317
 10006    312
 10007    290
 10008    303
 10009    306
 10010    308
 11001    262
 11002    270
 11003    261
 11004    252
 11005    255
 11006    253
 11007    248
 11008    248
 11009    243
 11010    241
 12001    213
 12002    219
 12003    217
 12004    213
 12005    211
 12006    203
 12007    199
 12008    197
 12009    194
 12010    206
 13001    173
 13002    177
 13003    170
 13004    174
 13005    168
 13006    173
 13007    161
 13008    160
 13009    157
 13010    161
 14001    151
 14002    155
 14003    155
 14004    148
 14005    141
 14006    139
 14007    143
 14008    141
 14009    149
 14010    148
 15001    130
 15002    129
 15003    127
 15004    127
 15005    129
 15006    120
 15007    114
 15008    135
 15009    131
 15010    119
 16001    112
 16002    114
 16003    105
 16004    103
 16005    102
 16006    106
 16007     99
 16008    103
 16009    101
 16010    101
 17001     96
 17002     92
 17003     91
 17004     91
 17005     89
 17006     88
 17007     88
 17008     88
 17009     87
 17010    101
 18001     89
 18002     90
